sparsity 	partitions 	MSTSetupT 	MSTOps 	SEQSetupT 	SEQOps 	ORDOps
50	1	95629	6572	245159	4834	8096	
50	2	181485	5929	252395	4874	8116	
50	4	375183	5140	240669	4837	8078	
50	8	749757	4320	243697	4858	8197	
50	16	1483825	3698	236941	4873	8030	
50	32	3052349	4280	210880	4592	8053	
50	64	5926386	6280	173379	6216	8119	
