sparsity 	partitions 	MSTSetupT 	MSTOps 	SEQSetupT 	SEQOps 	ORDOps
75	1	92999	4927	398244	5095	12155	
75	2	186041	4383	403315	5194	12198	
75	4	372156	3769	393040	5176	12152	
75	8	736533	3187	396050	5125	12134	
75	16	1466015	3221	387711	5052	12092	
75	32	2923024	4535	333838	4914	12060	
75	64	5846023	7848	259380	7784	12152	
