sparsity 	partitions 	MSTSetupT 	MSTOps 	SEQSetupT 	SEQOps 	ORDOps
90	1	95735	2292	540296	4549	14600	
90	2	182549	2036	523552	4432	14604	
90	4	376695	1801	537487	4464	14632	
90	8	852473	1917	522518	4266	14595	
90	16	1484538	2583	495303	4003	14630	
90	32	2974317	4412	434752	4826	14639	
90	64	5935554	8284	325877	8220	14580	
