sparsity 	partitions 	MSTSetupT 	MSTOps 	SEQSetupT 	SEQOps 	ORDOps
10	1	95705	1990	32593	1583	1633	
10	2	187861	1784	45562	1564	1628	
10	4	376955	1589	33902	1559	1617	
10	8	754795	1590	35318	1626	1667	
10	16	1482865	1571	37192	1546	1581	
10	32	2999350	1681	48770	1613	1639	
10	64	5960208	1733	74433	1626	1636	
