sparsity 	partitions 	MSTSetupT 	MSTOps 	SEQSetupT 	SEQOps 	ORDOps
75	1	95075	4909	401022	5233	12113	
75	2	190809	4396	404792	5204	12213	
75	4	376641	3714	409811	5172	12245	
75	8	743632	3148	400268	5171	12241	
75	16	1567900	3252	391704	5032	12006	
75	32	2978091	4543	342331	4925	12138	
75	64	6084595	7819	262444	7755	12172	
