sparsity 	partitions 	MSTSetupT 	MSTOps 	SEQSetupT 	SEQOps 	ORDOps
75	1	97115	4797	400824	5168	12197	
75	2	188848	4402	404412	5246	12155	
75	4	378225	3764	501662	5079	12181	
75	8	743993	3237	396396	5021	12095	
75	16	1594430	3201	465571	4998	12187	
75	32	3155298	4516	366567	4927	12109	
75	64	6021050	7839	262716	7775	12152	
