sparsity 	partitions 	MSTSetupT 	MSTOps 	SEQSetupT 	SEQOps 	ORDOps
10	1	95567	2012	33119	1567	1616	
10	2	187315	1842	35303	1611	1667	
10	4	377747	1622	35859	1601	1656	
10	8	767321	1524	36059	1564	1610	
10	16	1499936	1511	42189	1491	1515	
10	32	3027991	1632	48962	1568	1597	
10	64	6003356	1653	75659	1549	1570	
