sparsity 	partitions 	MSTSetupT 	MSTOps 	SEQSetupT 	SEQOps 	ORDOps
90	1	94831	2327	561442	4628	14607	
90	2	182349	2109	530480	4446	14553	
90	4	382545	1842	527409	4437	14606	
90	8	745746	1885	525765	4352	14642	
90	16	1481844	2593	492835	4095	14600	
90	32	2990285	4407	433347	4792	14649	
90	64	6049435	8293	327169	8229	14639	
