sparsity 	partitions 	MSTSetupT 	MSTOps 	SEQSetupT 	SEQOps 	ORDOps
75	1	94948	5008	403563	5140	12081	
75	2	186998	4344	406553	5161	12163	
75	4	374933	3754	404140	5099	12183	
75	8	755334	3187	394619	5062	12191	
75	16	1509866	3186	400485	4996	12126	
75	32	3000253	4536	358418	4930	12197	
75	64	6043378	7847	261622	7783	12204	
